measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2017-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2017-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2018-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
