measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-03-01,38.0,438.0,438.0,,,,,,,0.0,0.0,0.0
2006-04-01,28.0,541.0,541.0,,,,,,,0.0,0.0,0.0
2006-05-01,0.0,1.0,1.0,,,,,,,0.0,0.0,0.0
2006-06-01,19.0,369.0,369.0,,,,,,,0.0,0.0,0.0
2006-07-01,172.0,2810.0,2810.0,,,,,,,0.0,0.0,0.0
2006-08-01,194.0,3095.0,3095.0,,,,,,,0.0,0.0,0.0
2006-09-01,17.0,304.0,304.0,,,,,,,0.0,0.0,0.0
2006-10-01,17.0,290.0,290.0,,,,,,,0.0,0.0,0.0
2006-11-01,16.0,277.0,277.0,,,,,,,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-01-01,9.0,143.0,143.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-03-01,22.0,350.0,350.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,30.0,511.0,511.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-07-01,33.0,416.0,416.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-08-01,24.0,576.0,576.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-10-01,21.0,543.0,543.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-11-01,55.0,870.0,870.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-01-01,-143.12,235.0,235.0,,,,0.0,0.0,0.0,,,
2008-02-01,-137.958,226.0,226.0,,,,0.0,0.0,0.0,,,
2008-03-01,-104.494,171.0,171.0,,,,0.0,0.0,0.0,,,
2008-04-01,-77.0,126.0,126.0,,,,0.0,0.0,0.0,,,
2008-05-01,-39.4,65.0,65.0,,,,0.0,0.0,0.0,,,
2008-06-01,-169.43900000000002,277.0,277.0,,,,0.0,0.0,0.0,,,
2008-07-01,-250.75500000000002,410.0,410.0,,,,0.0,0.0,0.0,,,
2008-08-01,-186.709,305.0,305.0,,,,0.0,0.0,0.0,,,
2008-09-01,-109.587,179.0,179.0,,,,0.0,0.0,0.0,,,
2008-10-01,-76.524,125.0,125.0,,,,0.0,0.0,0.0,,,
2008-11-01,-86.25800000000001,141.0,141.0,,,,0.0,0.0,0.0,,,
2008-12-01,-107.756,176.0,176.0,,,,0.0,0.0,0.0,,,
2009-01-01,35.92,601.0,601.0,,,,0.0,0.0,0.0,,,
2009-02-01,30.642000000000003,512.0,512.0,,,,0.0,0.0,0.0,,,
2009-03-01,27.15,453.0,453.0,,,,0.0,0.0,0.0,,,
2009-04-01,8.472,141.0,141.0,,,,0.0,0.0,0.0,,,
2009-05-01,17.234,288.0,288.0,,,,0.0,0.0,0.0,,,
2009-06-01,23.577,394.0,394.0,,,,0.0,0.0,0.0,,,
2009-07-01,28.995,485.0,485.0,,,,0.0,0.0,0.0,,,
2009-08-01,41.197,689.0,689.0,,,,0.0,0.0,0.0,,,
2009-09-01,28.372,475.0,475.0,,,,0.0,0.0,0.0,,,
2009-10-01,15.115,253.0,253.0,,,,0.0,0.0,0.0,,,
2009-11-01,14.848,248.0,248.0,,,,0.0,0.0,0.0,,,
2009-12-01,23.478,393.0,393.0,,,,0.0,0.0,0.0,,,
2010-01-01,28.112000000000002,490.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-02-01,26.249000000000002,459.0,459.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-03-01,22.931,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-04-01,16.131,282.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,26.168000000000003,457.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-06-01,45.072,788.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-07-01,73.804,1290.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-08-01,68.515,1198.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-09-01,27.718,484.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-10-01,34.095,596.0,596.0,,,,0.0,0.0,0.0,,,
2010-11-01,36.075,630.0,630.0,,,,0.0,0.0,0.0,,,
2010-12-01,67.13,1174.0,1174.0,,,,0.0,0.0,0.0,,,
2011-01-01,16.075,272.0,272.0,,,,0.0,0.0,0.0,,,
2011-02-01,11.3,191.0,191.0,,,,0.0,0.0,0.0,,,
2011-03-01,18.136,306.0,306.0,,,,0.0,0.0,0.0,,,
2011-04-01,14.067,237.0,237.0,,,,0.0,0.0,0.0,,,
2011-05-01,11.85,200.0,200.0,,,,0.0,0.0,0.0,,,
2011-06-01,10.983,185.0,185.0,,,,0.0,0.0,0.0,,,
2011-07-01,22.442,379.0,379.0,,,,0.0,0.0,0.0,,,
2011-08-01,15.511,262.0,262.0,,,,0.0,0.0,0.0,,,
2011-09-01,8.078,136.0,136.0,,,,0.0,0.0,0.0,,,
2011-10-01,8.707,146.0,146.0,,,,0.0,0.0,0.0,,,
2011-11-01,14.952,253.0,253.0,,,,0.0,0.0,0.0,,,
2011-12-01,21.899,370.0,370.0,,,,0.0,0.0,0.0,,,
2012-01-01,33.629,683.0,683.0,,,,0.0,0.0,0.0,,,
2012-02-01,34.408,698.0,698.0,,,,0.0,0.0,0.0,,,
2012-03-01,36.932,749.0,749.0,,,,0.0,0.0,0.0,,,
2012-04-01,24.931,506.0,506.0,,,,0.0,0.0,0.0,,,
2012-05-01,34.973,710.0,710.0,,,,0.0,0.0,0.0,,,
2012-06-01,34.52,701.0,701.0,,,,0.0,0.0,0.0,,,
2012-07-01,43.762,888.0,888.0,,,,0.0,0.0,0.0,,,
2012-08-01,28.867,586.0,586.0,,,,0.0,0.0,0.0,,,
2012-09-01,21.664,439.0,439.0,,,,0.0,0.0,0.0,,,
2012-10-01,26.202,532.0,532.0,,,,0.0,0.0,0.0,,,
2012-11-01,21.378,434.0,434.0,,,,0.0,0.0,0.0,,,
2012-12-01,20.734,421.0,421.0,,,,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
