measured_on,Black Liquor - Combined Cycle Combustion Turbine Part - Wood and Wood-derived Fuels - Generation,Black Liquor - Combined Cycle Combustion Turbine Part - Wood and Wood-derived Fuels - Quantity Consumed For Electricity,Black Liquor - Combined Cycle Combustion Turbine Part - Wood and Wood-derived Fuels - Total Fuel Consumed,Black Liquor - Combined Cycle Steam Part - Wood and Wood-derived Fuels - Generation,Black Liquor - Combined Cycle Steam Part - Wood and Wood-derived Fuels - Quantity Consumed For Electricity,Black Liquor - Combined Cycle Steam Part - Wood and Wood-derived Fuels - Total Fuel Consumed,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed",Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other - Combined Cycle Steam Part - Other - Generation,Other - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Steam Part - Other - Total Fuel Consumed
2006-06-01,0.0,0.0,0.0,5683.05565,37443.34,344028.3,,,,,,,22411.481,147660.13,243295.78,5495.79735,36209.57,89396.69,,,,,,,,,
2006-07-01,0.0,0.0,0.0,5567.91735,36684.74,356438.25,,,,,,,24644.179,162370.46,249928.04,5188.40265,34184.27,82215.03,,,,,,,,,
2006-08-01,0.0,0.0,0.0,5075.03677,33437.35,332230.5,,,,,,,25538.218,168260.92,262759.32,5252.98923,34609.81,81120.6,,,,,,,,,
2006-09-01,0.0,0.0,0.0,4530.96091,29852.66,306787.32,,,,,,,24450.198,161092.4,256431.4,4901.10609,32291.39,75418.12,,,,,,,,,
2006-10-01,0.0,0.0,0.0,4132.09373,27224.68,296792.58,,,,,,,25646.732,168975.88,277871.09,4913.93227,32375.9,75077.98,,,,,,,,,
2006-11-01,0.0,0.0,0.0,4819.38646,31752.97,293854.26,,,,,,,22148.359,145926.52,256905.12,5681.49454,37433.05,89514.78,,,,,,,,,
2006-12-01,0.0,0.0,0.0,4891.44234,32227.72,301589.61,,,,,,,21469.427,141453.32,276896.9,6142.40466,40469.8,101822.77,,,,,,,,,
2007-01-01,0.0,0.0,0.0,5516.026,36339.0,320242.0,,,,,,,20360.281,134145.0,258869.0,6270.696,41315.0,105187.0,,,,,,,,,
2007-02-01,0.0,0.0,0.0,5082.777,33489.0,295686.0,,,,,,,19582.438000000002,129021.0,243639.0,5876.167,38716.0,98201.0,,,,,,,,,
2007-03-01,0.0,0.0,0.0,5394.727,35540.0,328744.0,,,,,,,23762.624,156562.0,274989.0,6150.0,40520.0,99779.0,,,,,,,,,
2007-04-01,0.0,0.0,0.0,3700.902,24382.0,271402.0,,,,,,,16500.835,108718.0,215611.0,3824.969,25201.0,64889.0,,,,,,,,,
2007-05-01,0.0,0.0,0.0,5385.647,35480.0,353872.0,,,,,,,22009.116,145010.0,254406.0,5216.0650000000005,34367.0,88324.0,,,,,,,,,
2007-06-01,0.0,0.0,0.0,5187.059,34174.0,337650.0,,,,,,,23315.124,153614.0,236428.0,4799.101000000001,31619.0,75968.0,,,,,,,,,
2007-07-01,0.0,0.0,0.0,4966.3820000000005,32716.0,348432.0,,,,,,,25466.196,167786.0,248461.0,4553.072,29999.0,70974.0,,,,,,,,,
2007-08-01,0.0,0.0,0.0,4914.593,32379.0,324768.0,,,,,,,23640.665,155759.0,230846.0,4530.918000000001,29852.0,68568.0,,,,,,,,,
2007-09-01,0.0,0.0,0.0,4942.755,32564.0,299896.0,,,,,,,23783.75,156701.0,236352.0,5142.316,33881.0,75652.0,,,,,,,,,
2007-10-01,0.0,0.0,0.0,6117.304,40300.0,379603.0,,,,,,,23263.268,153272.0,233636.0,5108.603,33658.0,83373.0,,,,,,,,,
2007-11-01,0.0,0.0,0.0,6325.666,41681.0,352675.0,,,,,,,20108.682,132488.0,219239.0,5583.014,36784.0,92032.0,,,,,,,,,
2007-12-01,0.0,0.0,0.0,6247.823,41170.0,355025.0,,,,,,,22166.605,146047.0,239433.0,5889.409000000001,38803.0,95226.0,,,,,,,,,
2008-01-01,,,,,,,,,,,,,41496.097,267905.0,314767.0,0.0,0.0,103782.0,,,,,,,0.0,0.0,0.0
2008-02-01,,,,,,,,,,,,,38525.674,248727.0,292235.0,0.0,0.0,78732.0,,,,,,,0.0,0.0,0.0
2008-03-01,,,,,,,,,,,,,37783.659,243937.0,286606.0,0.0,0.0,94865.0,,,,,,,0.0,0.0,0.0
2008-04-01,,,,,,,,,,,,,36057.831,232795.0,273514.0,0.0,0.0,68481.0,,,,,,,0.0,0.0,0.0
2008-05-01,,,,,,,,,,,,,17315.041,111788.0,131343.0,0.0,0.0,85424.0,,,,,,,0.0,0.0,0.0
2008-06-01,,,,,,,,,,,,,4191.4220000000005,27060.0,31794.0,0.0,0.0,77254.0,,,,,,,0.0,0.0,0.0
2008-07-01,,,,,,,,,,,,,23883.23,154194.0,181165.0,0.0,0.0,51652.0,,,,,,,0.0,0.0,0.0
2008-08-01,,,,,,,,,,,,,37826.782,244215.0,286933.0,0.0,0.0,41134.0,,,,,,,0.0,0.0,0.0
2008-09-01,,,,,,,,,,,,,36038.899,232672.0,273371.0,0.0,0.0,50166.0,,,,,,,0.0,0.0,0.0
2008-10-01,,,,,,,,,,,,,37612.861000000004,242834.0,285310.0,0.0,0.0,89230.0,,,,,,,0.0,0.0,0.0
2008-11-01,,,,,,,,,,,,,33791.499,218163.0,256324.0,0.0,0.0,72381.0,,,,,,,0.0,0.0,0.0
2008-12-01,,,,,,,,,,,,,39441.005000000005,254637.0,299178.0,0.0,0.0,84292.0,,,,,,,0.0,0.0,0.0
2009-01-01,,,,,,,3798.9260000000004,44480.0,203882.0,,,,28520.356,186043.0,298456.0,,,,0.0,0.0,0.0,1153.074,13501.0,61883.0,,,
2009-02-01,,,,,,,3441.0640000000003,40289.0,145650.0,,,,32629.855,212850.0,341460.0,,,,0.0,0.0,0.0,1108.9360000000001,12984.0,46938.0,,,
2009-03-01,,,,,,,3812.5440000000003,44639.0,149327.0,,,,32209.986,210111.0,337066.0,,,,0.0,0.0,0.0,1242.4560000000001,14547.0,48664.0,,,
2009-04-01,,,,,,,3223.626,37738.0,125930.0,,,,14274.148000000001,93112.0,149374.0,,,,0.0,0.0,0.0,667.374,7813.0,26071.0,,,
2009-05-01,,,,,,,5353.407,62680.0,181969.0,,,,4622.011,30150.0,48368.0,,,,0.0,0.0,0.0,654.5930000000001,7664.0,22250.0,,,
2009-06-01,,,,,,,4039.753,47304.0,174789.0,,,,6534.402,42625.0,68381.0,,,,0.0,0.0,0.0,1100.247,12884.0,47605.0,,,
2009-07-01,,,,,,,4888.844,57244.0,210459.0,,,,33210.137,216635.0,347532.0,,,,0.0,0.0,0.0,800.1560000000001,9369.0,34446.0,,,
2009-08-01,,,,,,,5335.07,62466.0,194741.0,,,,38513.176,251227.0,403027.0,,,,0.0,0.0,0.0,975.93,11427.0,35623.0,,,
2009-09-01,,,,,,,4953.628000000001,58002.0,187758.0,,,,39790.481,259559.0,416394.0,,,,0.0,0.0,0.0,1045.372,12240.0,39623.0,,,
2009-10-01,,,,,,,5096.185,59673.0,206596.0,,,,35536.417,231809.0,371876.0,,,,0.0,0.0,0.0,1062.815,12445.0,43086.0,,,
2009-11-01,,,,,,,4667.704000000001,54659.0,174139.0,,,,33776.08,220327.0,353455.0,,,,0.0,0.0,0.0,1481.296,17346.0,55263.0,,,
2009-12-01,,,,,,,1987.487,23271.0,80481.0,0.0,0.0,0.0,36659.951,239138.0,383634.0,,,,0.0,0.0,0.0,726.513,8506.0,29419.0,,,
